PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Active_Concentration_Qualifier_A459_test1,Active_Concentration_A459_test1,Active_Concentration_Qualifier_HCT116_test1,Active_Concentration_HCT116_test1,Active_Concentration_Qualifier_IMR90_test1,Active_Concentration_IMR90_test1,Active_Concentration_Qualifier_A459_test2,Active_Concentration_A459_test2,Active_Concentration_Qualifier_HCT116_test2,Active_Concentration_HCT116_test2,Active_Concentration_Qualifier_IMR90_test2,Active_Concentration_IMR90_test2,Active_Concentration_Qualifier_A459_test3,Active_Concentration_A459_test3,Active_Concentration_Qualifier_HCT116_test3,Active_Concentration_HCT116_test3,Active_Concentration_Qualifier_IMR90_test3,Active_Concentration_IMR90_test3
RESULT_TYPE,,,,,,,,STRING,INTEGER,STRING,INTEGER,STRING,INTEGER,STRING,INTEGER,STRING,INTEGER,STRING,INTEGER,STRING,INTEGER,STRING,INTEGER,STRING,INTEGER
RESULT_UNIT,,,,,,,,,NANOMOLAR,,NANOMOLAR,,NANOMOLAR,,NANOMOLAR,,NANOMOLAR,,NANOMOLAR,,NANOMOLAR,,NANOMOLAR,,NANOMOLAR
1,163621232,2874250,CCN(CC)C1=C(C=C(C=C1)C2=NNC(=O)CC2C)[N+](=O)[O-],Inactive,60,,,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000
2,163621247,71576741,C[C@@H]1CC(=O)NN=C1C2=CC=C(C=C2)C3CCCCC3,Inactive,60,,,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000
3,163621248,71576771,C[C@@H]1CC(=O)NN=C1C2=CC(=C(C=C2)N3CCOCC3)F,Inactive,60,,,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000
4,163621251,6541041,C[C@@H]1CC(=O)NN=C1C2=CC=C(C=C2)Cl,Inactive,60,,,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000
5,163621265,71576758,C[C@@H]1CC(=O)NN=C1C2=CC=C(C=C2)N3CCOCC3,Inactive,60,,,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000
6,165222687,135409400,C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3,Inactive,60,,,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000
7,163621270,71576738,C[C@H]1CC(=O)NN=C1C2=CC(=C(C=C2)N3CCOCC3)F,Inactive,60,,,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000
8,163621271,71576750,C[C@@H]1CC(=O)NN=C1C2=CC=C(C=C2)C3=CN=CN=C3,Inactive,60,,,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000
9,163621275,71576736,C[C@@H]1CC(=O)NN=C1C2=CC(=C(C=C2)F)F,Inactive,60,,,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000
10,165222679,5537,CC1=CC(=C(C(=C1)C)N=C2C=C3C4=CC(=C(C=C4CCN3C(=O)N2C)OC)OC)C,Inactive,60,,,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000
11,163621279,9816296,C[C@@H]1CC(=O)NN=C1C2=CC=C(C=C2)NC(=O)C,Inactive,60,,,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000
12,163621284,71576762,CCN1C(=O)C[C@H](C(=N1)C2=CC=C(C=C2)N(CC)CC)C,Inactive,60,,,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000,>,10000
